latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
20.94428,85.01583,331.1,0.4,0.6,2022-01-01,0651,SNPP,SNPP,n,2,288.78,2.45,D,0
21.07072,85.03486,299.34,0.37,0.58,2022-01-01,1920,SNPP,SNPP,n,2,287.32,0.63,N,2
20.96478,85.17081,314.69,0.36,0.57,2022-01-01,1920,SNPP,SNPP,n,2,284.76,1.77,N,2
20.97396,85.13238,299.21,0.36,0.58,2022-01-01,1920,SNPP,SNPP,n,2,287.13,1.14,N,2
20.96443,85.17439,316.51,0.36,0.57,2022-01-01,1920,SNPP,SNPP,n,2,286.63,1.77,N,2
20.96408,85.17793,300.17,0.36,0.57,2022-01-01,1920,SNPP,SNPP,n,2,283.63,0.94,N,2
20.96374,85.18147,297.29,0.36,0.57,2022-01-01,1920,SNPP,SNPP,n,2,280.85,0.94,N,2
20.96339,85.18497,295.97,0.36,0.57,2022-01-01,1920,SNPP,SNPP,n,2,281.19,0.93,N,2
20.96082,85.15607,298.97,0.36,0.58,2022-01-01,1920,SNPP,SNPP,n,2,286.15,1.23,N,2
20.95909,85.17381,299.12,0.36,0.57,2022-01-01,1920,SNPP,SNPP,n,2,285.36,1.39,N,2
20.97791,85.14719,307.77,0.36,0.58,2022-01-01,1920,SNPP,SNPP,n,2,286.51,0.84,N,2
20.9669,85.03757,300.35,0.37,0.58,2022-01-01,1920,SNPP,SNPP,n,2,285.12,0.92,N,0
20.97326,85.13947,303.14,0.36,0.58,2022-01-01,1920,SNPP,SNPP,n,2,287.34,1.51,N,2
20.94705,85.01727,322.96,0.37,0.58,2022-01-01,1920,SNPP,SNPP,n,2,284.27,1.48,N,0
20.96493,85.03871,297.17,0.37,0.58,2022-01-01,1920,SNPP,SNPP,n,2,283.77,0.69,N,0
21.07318,85.03467,298.28,0.37,0.58,2022-01-01,1920,SNPP,SNPP,n,2,287.92,1.45,N,2
20.94521,85.01846,329.56,0.37,0.58,2022-01-01,1920,SNPP,SNPP,n,2,283.52,2.68,N,0
20.94558,85.01485,304.3,0.37,0.58,2022-01-01,1920,SNPP,SNPP,n,2,281.87,2.85,N,0
20.80937,85.25797,298.26,0.35,0.57,2022-01-01,1920,SNPP,SNPP,n,2,287.26,0.66,N,2
20.80406,85.25742,316.71,0.35,0.57,2022-01-01,1920,SNPP,SNPP,n,2,288.68,1.4,N,2
